Name,Ralenov,Sulimo,Sephgonewild
Grasp of the Dead,,,
Inferno Waist Cord,,,
Grips of Deftness,,,
Zierhut's Lost Treads,,,
Belt of the Tracker,,,
Boots of Elusion,,,
Drape of the Righteous,,,
Ring of Unrelenting Storms,,,
Ritssyn's Lost Pendant,,,
Ravager's Cuffs,,,
Ravager's Wrist-Wraps,,,
Ravager's Bracers,,,
Ravager's Bands,,,
Glider's Boots,,,
Glider's Foot-Wraps,,,
Glider's Greaves,,,
Glider's Sabatons,,,
Lurker's Belt,,,
Lurker's Cord,,,
Lurker's Girdle,,,
Lurker's Grasp,,,
Steelhawk Crossbow,,,
Gloves of Saintly Blessings,,,
Handwraps of Flowing Thought,,,
Harbinger Bands,,,
Bracers of the White Stag,,,
Gloves of Dexterous Manipulation,,,
Stalker's War Bands,,,
Whirlwind Bracers,,,
Gauntlets of Renewed Hope,,,
Vambraces of Courage,,,
Spectral Band of Innervation,,,
Worgen Claw Necklace,,,
Fiery Warhorse's Reins,,,
Emerald Ripper,,,
Nethershard Girdle,,,
Edgewalker Longboots,,,
Belt of Gale Force,,,
Boots of Valiance,,,
Crimson Girdle of the Indomitable,,,
Royal Cloak of Arathi Kings,,,
Shadow-Cloak of Dalaran,,,
Brooch of Unquenchable Fury,,,
Moroes' Lucky Pocket Watch,,,
Idol of the Avian Heart,,,
Signet of Unshakable Faith,,,
Totem of Healing Rains,,,
Shard of the Virtuous,,,
Bands of Indwelling,,,
Bands of Nefarious Deeds,,,
Boots of Foretelling,,,
Bracers of Maliciousness,,,
Mitts of the Treemender,,,
Gloves of Centering,,,
Gloves of Quickening,,,
Bracers of Justice,,,
Iron Gauntlets of the Maiden,,,
Barbed Choker of Discipline,,,
Trial-Fire Trousers,,,
Earthsoul Leggings,,,
Beastmaw Pauldrons,,,
Eternium Greathelm,,,
Ribbon of Sacrifice,,,
Libram of Souls Redeemed,,,
Blue Diamond Witchwand,,,
Legacy,,,
Ruby Slippers,,,
Wicked Witch's Hat,,,
Big Bad Wolf's Paw,,,
Wolfslayer Sniper Rifle,,,
Big Bad Wolf's Head,,,
Red Riding Hood's Cloak,,,
Blade of the Unrequited,,,
Despair,,,
Masquerade Gown,,,
Romulo's Poison Vial,,,
Staff of Infinite Mysteries,,,
Pauldrons of the Solace-Giver,,,
Forest Wind Shoulderpads,,,
Dragon-Quake Shoulderguards,,,
Wrynn Dynasty Greaves,,,
Garona's Signet Ring,,,
Gloves of the Fallen Champion,,,
Gloves of the Fallen Champion Offspec 1,,,
Gloves of the Fallen Champion Offspec 2,,,
Gloves of the Fallen Defender,,,
Gloves of the Fallen Defender Offspec 1,,,
Gloves of the Fallen Defender Offspec 2,,,
Gloves of the Fallen Hero,,,
Fool's Bane,,,
Fool's Bane 2,,,
Xavian Stiletto,,,
Terestian's Stranglestaff,,,
Cincture of Will,,,
Malefic Girdle,,,
Cord of Nature's Sustenance,,,
Girdle of the Prowler,,,
Breastplate of the Lightbinder,,,
Gilded Thorium Cloak,,,
Shadowvine Cloak of Infusion,,,
Mender's Heart-Ring,,,
The Lightning Capacitor,,,
Tirisfal Wand of Ascendancy,,,
Boots of the Incorrupt,,,
Boots of the Infernal Coven,,,
Mantle of the Mind Flayer,,,
Rapscallion Boots,,,
Steelspine Faceguard,,,
Pauldrons of the Justice-Seeker,,,
Drape of the Dark Reavers,,,
Aran's Soothing Sapphire,,,
Pendant of the Violet Eye,,,
Saberclaw Talisman,,,
Shermanar Great-Ring,,,
King's Defender,,,
Triptych Shield of the Ancients,,,
Headdress of the High Potentate,,,
Bladed Shoulderpads of the Merciless,,,
Forestlord Striders,,,
Girdle of Treachery,,,
Fiend Slayer Boots,,,
Heart-Flame Leggings,,,
Battlescar Boots,,,
Legplates of the Innocent,,,
Mithril Chain of Heroism,,,
Ring of Recurrence,,,
Spiteblade,,,
Spiteblade 2,,,
Pantaloons of Repentance,,,
Uni-Mind Headdress,,,
Cowl of Defiance,,,
Skulker's Greaves,,,
Earthblood Chestguard,,,
Rip-Flayer Leggings,,,
Girdle of Truth,,,
Mantle of Abrahmis,,,
Jewel of Infinite Possibilities,,,
Mithril Band of the Unscarred,,,
Shining Chain of the Afterworld,,,
Gorehowl,,,
Light's Justice,,,
Malchazeen,,,
Nathrezim Mindblade,,,
Sunfury Bow of the Phoenix,,,
The Decapitator,,,
The Decapitator 2,,,
Farstrider Wildercloak,,,
Ruby Drape of the Mysticant,,,
Stainless Cloak of the Pure Hearted,,,
Adornment of Stolen Souls,,,
Jade Ring of the Everliving,,,
Ring of a Thousand Marks,,,
Helm of the Fallen Champion,,,
Helm of the Fallen Champion Offspec 1,,,
Helm of the Fallen Champion Offspec 2,,,
Helm of the Fallen Defender,,,
Helm of the Fallen Defender Offspec 1,,,
Helm of the Fallen Defender Offspec 2,,,
Helm of the Fallen Hero,,,
Dragonheart Flameshield,,,
Nightstaff of the Everliving,,,
Shield of Impenetrable Darkness,,,
Robe of the Elder Scribes,,,
Chestguard of the Conniver,,,
Stonebough Jerkin,,,
Ferocious Swift-Kickers,,,
Scaled Breastplate of Carnage,,,
Ironstriders of Urgency,,,
Panzar'Thar Breastplate,,,
Emberspur Talisman,,,
Talisman of Nightbane,,,
Hammer of the Naaru,,,
Belt of Divine Inspiration,,,Sephgonewild:47
Malefic Mask of the Shadows,,,
Maulgar's Warhelm,,,
Bladespire Warbands,,,
Brute Cloak of the Ogre-Magi,,,Sephgonewild:46
Pauldrons of the Fallen Champion,Ralenov:48,,
Pauldrons of the Fallen Champion Offspec 1,,,
Pauldrons of the Fallen Champion Offspec 2,,,
Pauldrons of the Fallen Defender,,,Sephgonewild:50
Pauldrons of the Fallen Defender Offspec 1,,,
Pauldrons of the Fallen Defender Offspec 2,,,
Pauldrons of the Fallen Hero,,,
Aldori Legacy Defender,,,
Shuriken of Negation,,,
Axe of the Gronn Lords,,,
Bloodmaw Magus-Blade,,,Sephgonewild:45
Collar of Cho'gall,,,Sephgonewild:42
